,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_32,G_33,G_34,G_35,G_36,G_37,G_38,G_39,G_40,G_41
G_10,80.0,144.0,163.0,153.0,298.0,96.0,237.0,22.0,97.0,22.0,0.0,136.0,152.0,63.0,99.0,56.0,77.0,24.0,77.0,176.0,131.0,220.0,64.0,118.0,77.0,137.0,58.0,39.0,37.0,139.0,158.0,233.0,237.0,99.0,275.0,78.0,95.0,213.0,254.0,99.0,199.0,1400.0
G_11,72.0,20.0,42.0,30.0,176.0,52.0,110.0,131.0,51.0,133.0,136.0,0.0,33.0,172.0,212.0,171.0,194.0,134.0,73.0,290.0,13.0,95.0,92.0,36.0,71.0,251.0,92.0,116.0,114.0,15.0,36.0,113.0,113.0,51.0,148.0,74.0,52.0,91.0,138.0,211.0,312.0,1520.0
G_12,93.0,42.0,23.0,12.0,156.0,73.0,94.0,147.0,72.0,150.0,152.0,33.0,0.0,195.0,229.0,190.0,212.0,152.0,94.0,307.0,32.0,79.0,111.0,53.0,91.0,273.0,110.0,135.0,133.0,36.0,20.0,95.0,92.0,70.0,133.0,93.0,70.0,66.0,109.0,231.0,330.0,1540.0
G_13,111.0,170.0,193.0,190.0,333.0,132.0,269.0,64.0,134.0,57.0,63.0,172.0,195.0,0.0,50.0,22.0,36.0,57.0,111.0,131.0,167.0,255.0,96.0,153.0,112.0,92.0,94.0,74.0,81.0,170.0,192.0,267.0,269.0,130.0,308.0,116.0,132.0,253.0,295.0,54.0,151.0,1360.0
G_14,146.0,209.0,229.0,227.0,369.0,166.0,305.0,98.0,171.0,90.0,99.0,212.0,229.0,50.0,0.0,56.0,40.0,92.0,150.0,88.0,204.0,290.0,131.0,188.0,150.0,55.0,128.0,114.0,116.0,208.0,229.0,304.0,305.0,166.0,345.0,149.0,168.0,287.0,329.0,14.0,112.0,1320.0
G_15,111.0,180.0,197.0,187.0,330.0,127.0,269.0,53.0,134.0,52.0,56.0,171.0,190.0,22.0,56.0,0.0,32.0,52.0,113.0,133.0,165.0,250.0,93.0,152.0,112.0,101.0,89.0,69.0,67.0,173.0,191.0,265.0,272.0,130.0,307.0,107.0,125.0,248.0,289.0,52.0,154.0,1360.0
G_16,132.0,200.0,217.0,208.0,352.0,150.0,289.0,74.0,156.0,75.0,77.0,194.0,212.0,36.0,40.0,32.0,0.0,74.0,129.0,117.0,187.0,275.0,116.0,171.0,132.0,79.0,113.0,89.0,93.0,192.0,213.0,286.0,293.0,150.0,330.0,134.0,149.0,270.0,311.0,37.0,138.0,1340.0
G_17,70.0,139.0,153.0,149.0,286.0,88.0,231.0,15.0,96.0,11.0,24.0,134.0,152.0,57.0,92.0,52.0,74.0,0.0,71.0,169.0,128.0,207.0,54.0,109.0,70.0,135.0,49.0,38.0,34.0,131.0,155.0,225.0,234.0,90.0,269.0,72.0,91.0,210.0,247.0,97.0,193.0,1400.0
G_18,12.0,74.0,96.0,89.0,230.0,32.0,168.0,75.0,34.0,73.0,77.0,73.0,94.0,111.0,150.0,113.0,129.0,71.0,0.0,227.0,68.0,154.0,37.0,49.0,12.0,191.0,33.0,56.0,54.0,68.0,94.0,162.0,174.0,32.0,207.0,17.0,34.0,150.0,191.0,155.0,252.0,1460.0
G_19,222.0,287.0,306.0,307.0,446.0,243.0,385.0,173.0,251.0,167.0,176.0,290.0,307.0,131.0,88.0,133.0,117.0,169.0,227.0,0.0,286.0,366.0,207.0,268.0,227.0,53.0,204.0,195.0,188.0,288.0,307.0,384.0,384.0,248.0,424.0,226.0,247.0,365.0,407.0,96.0,29.0,1240.0
G_20,66.0,20.0,40.0,26.0,173.0,47.0,110.0,131.0,51.0,130.0,131.0,13.0,32.0,167.0,204.0,165.0,187.0,128.0,68.0,286.0,0.0,93.0,90.0,32.0,69.0,246.0,86.0,108.0,108.0,14.0,35.0,108.0,112.0,49.0,148.0,70.0,46.0,90.0,132.0,207.0,307.0,1520.0
G_21,150.0,101.0,72.0,75.0,93.0,128.0,38.0,210.0,135.0,210.0,220.0,95.0,79.0,255.0,290.0,250.0,275.0,207.0,154.0,366.0,93.0,0.0,169.0,115.0,148.0,335.0,171.0,196.0,195.0,93.0,81.0,35.0,40.0,132.0,71.0,154.0,134.0,19.0,56.0,293.0,392.0,1600.0
G_22,30.0,96.0,114.0,110.0,249.0,49.0,187.0,56.0,52.0,54.0,64.0,92.0,111.0,96.0,131.0,93.0,116.0,54.0,37.0,207.0,90.0,169.0,0.0,72.0,30.0,175.0,13.0,39.0,35.0,92.0,115.0,188.0,189.0,49.0,225.0,36.0,50.0,168.0,211.0,130.0,230.0,1440.0
G_23,50.0,38.0,58.0,51.0,190.0,31.0,130.0,111.0,37.0,111.0,118.0,36.0,53.0,153.0,188.0,152.0,171.0,109.0,49.0,268.0,32.0,115.0,72.0,0.0,49.0,231.0,72.0,97.0,94.0,27.0,55.0,125.0,135.0,28.0,168.0,56.0,33.0,107.0,149.0,193.0,290.0,1500.0
G_24,10.0,75.0,92.0,89.0,227.0,26.0,167.0,69.0,34.0,74.0,77.0,71.0,91.0,112.0,150.0,112.0,132.0,70.0,12.0,227.0,69.0,148.0,30.0,49.0,0.0,194.0,31.0,57.0,56.0,70.0,93.0,168.0,171.0,28.0,205.0,17.0,33.0,147.0,186.0,152.0,252.0,1460.0
G_25,187.0,250.0,274.0,269.0,413.0,211.0,350.0,144.0,215.0,135.0,137.0,251.0,273.0,92.0,55.0,101.0,79.0,135.0,191.0,53.0,246.0,335.0,175.0,231.0,194.0,0.0,172.0,159.0,157.0,249.0,275.0,349.0,346.0,212.0,389.0,194.0,212.0,332.0,375.0,63.0,75.0,1280.0
G_26,25.0,98.0,114.0,106.0,251.0,46.0,188.0,54.0,52.0,48.0,58.0,92.0,110.0,94.0,128.0,89.0,113.0,49.0,33.0,204.0,86.0,171.0,13.0,72.0,31.0,172.0,0.0,33.0,32.0,92.0,115.0,186.0,191.0,49.0,226.0,26.0,50.0,167.0,211.0,132.0,229.0,1440.0
G_27,55.0,123.0,141.0,130.0,275.0,72.0,212.0,40.0,78.0,36.0,39.0,116.0,135.0,74.0,114.0,69.0,89.0,38.0,56.0,195.0,108.0,196.0,39.0,97.0,57.0,159.0,33.0,0.0,16.0,117.0,139.0,211.0,214.0,72.0,251.0,51.0,72.0,190.0,234.0,108.0,215.0,1420.0
G_28,53.0,120.0,141.0,130.0,270.0,71.0,212.0,35.0,78.0,34.0,37.0,114.0,133.0,81.0,116.0,67.0,93.0,34.0,54.0,188.0,108.0,195.0,35.0,94.0,56.0,157.0,32.0,16.0,0.0,117.0,131.0,207.0,217.0,75.0,249.0,53.0,69.0,190.0,232.0,117.0,209.0,1420.0
G_29,69.0,16.0,34.0,33.0,172.0,52.0,108.0,134.0,53.0,131.0,139.0,15.0,36.0,170.0,208.0,173.0,192.0,131.0,68.0,288.0,14.0,93.0,92.0,27.0,70.0,249.0,92.0,117.0,117.0,0.0,42.0,108.0,113.0,47.0,146.0,75.0,55.0,93.0,135.0,213.0,310.0,1520.0
G_30,96.0,39.0,26.0,17.0,155.0,75.0,96.0,152.0,79.0,156.0,158.0,36.0,20.0,192.0,229.0,191.0,213.0,155.0,94.0,307.0,35.0,81.0,115.0,55.0,93.0,275.0,115.0,139.0,131.0,42.0,0.0,93.0,102.0,76.0,133.0,98.0,70.0,74.0,117.0,230.0,330.0,1540.0
G_31,165.0,115.0,95.0,89.0,74.0,148.0,13.0,227.0,149.0,227.0,233.0,113.0,95.0,267.0,304.0,265.0,286.0,225.0,162.0,384.0,108.0,35.0,188.0,125.0,168.0,349.0,186.0,211.0,207.0,108.0,93.0,0.0,20.0,146.0,49.0,169.0,147.0,34.0,36.0,308.0,408.0,1620.0
G_32,169.0,113.0,94.0,93.0,79.0,151.0,15.0,234.0,154.0,232.0,237.0,113.0,92.0,269.0,305.0,272.0,293.0,234.0,174.0,384.0,112.0,40.0,189.0,135.0,171.0,346.0,191.0,214.0,217.0,113.0,102.0,20.0,0.0,150.0,57.0,175.0,153.0,35.0,39.0,307.0,408.0,1620.0
G_33,28.0,56.0,74.0,68.0,210.0,9.0,145.0,91.0,13.0,90.0,99.0,51.0,70.0,130.0,166.0,130.0,150.0,90.0,32.0,248.0,49.0,132.0,49.0,28.0,28.0,212.0,49.0,72.0,75.0,47.0,76.0,146.0,150.0,0.0,184.0,32.0,12.0,126.0,169.0,169.0,270.0,1480.0
G_34,202.0,150.0,129.0,128.0,34.0,183.0,47.0,268.0,187.0,269.0,275.0,148.0,133.0,308.0,345.0,307.0,330.0,269.0,207.0,424.0,148.0,71.0,225.0,168.0,205.0,389.0,226.0,251.0,249.0,146.0,133.0,49.0,57.0,184.0,0.0,208.0,186.0,71.0,40.0,347.0,447.0,1660.0
G_35,10.0,83.0,99.0,89.0,236.0,31.0,171.0,76.0,34.0,68.0,78.0,74.0,93.0,116.0,149.0,107.0,134.0,72.0,17.0,226.0,70.0,154.0,36.0,56.0,17.0,194.0,26.0,51.0,53.0,75.0,98.0,169.0,175.0,32.0,208.0,0.0,30.0,149.0,195.0,149.0,249.0,1460.0
G_36,31.0,60.0,80.0,67.0,212.0,10.0,149.0,91.0,15.0,90.0,95.0,52.0,70.0,132.0,168.0,125.0,149.0,91.0,34.0,247.0,46.0,134.0,50.0,33.0,33.0,212.0,50.0,72.0,69.0,55.0,70.0,147.0,153.0,12.0,186.0,30.0,0.0,128.0,173.0,166.0,268.0,1480.0
G_37,147.0,100.0,79.0,70.0,97.0,127.0,34.0,206.0,132.0,210.0,213.0,91.0,66.0,253.0,287.0,248.0,270.0,210.0,150.0,365.0,90.0,19.0,168.0,107.0,147.0,332.0,167.0,190.0,190.0,93.0,74.0,34.0,35.0,126.0,71.0,149.0,128.0,0.0,48.0,289.0,389.0,1600.0
G_38,191.0,144.0,118.0,113.0,56.0,169.0,40.0,244.0,177.0,251.0,254.0,138.0,109.0,295.0,329.0,289.0,311.0,247.0,191.0,407.0,132.0,56.0,211.0,149.0,186.0,375.0,211.0,234.0,232.0,135.0,117.0,36.0,39.0,169.0,40.0,195.0,173.0,48.0,0.0,332.0,432.0,1640.0
G_39,153.0,213.0,233.0,226.0,371.0,170.0,307.0,95.0,171.0,95.0,99.0,211.0,231.0,54.0,14.0,52.0,37.0,97.0,155.0,96.0,207.0,293.0,130.0,193.0,152.0,63.0,132.0,108.0,117.0,213.0,230.0,308.0,307.0,169.0,347.0,149.0,166.0,289.0,332.0,0.0,114.0,1320.0
G_40,245.0,307.0,332.0,329.0,471.0,268.0,408.0,197.0,275.0,192.0,199.0,312.0,330.0,151.0,112.0,154.0,138.0,193.0,252.0,29.0,307.0,392.0,230.0,290.0,252.0,75.0,229.0,215.0,209.0,310.0,330.0,408.0,408.0,270.0,447.0,249.0,268.0,389.0,432.0,114.0,0.0,1220.0
G_41,1460.0,1520.0,1540.0,1540.0,1680.0,1480.0,1620.0,1400.0,1480.0,1400.0,1400.0,1520.0,1540.0,1360.0,1320.0,1360.0,1340.0,1400.0,1460.0,1240.0,1520.0,1600.0,1440.0,1500.0,1460.0,1280.0,1440.0,1420.0,1420.0,1520.0,1540.0,1620.0,1620.0,1480.0,1660.0,1460.0,1480.0,1600.0,1640.0,1320.0,1220.0,0.0
