,G_base,G_1,G_2,G_3,G_4,G_5,G_6,G_7,G_8,G_9,G_10,G_11,G_12,G_13,G_14,G_15,G_16,G_17,G_18,G_19,G_20,G_21,G_22,G_23,G_24,G_25,G_26,G_27,G_28,G_29,G_30,G_31,G_32,G_33,G_34,G_35,G_36,G_37,G_38,G_39,G_40,G_41
G_10,192.0,251.0,229.0,229.0,387.0,288.0,176.0,193.0,367.0,413.0,0.0,19.0,290.0,172.0,214.0,156.0,78.0,93.0,430.0,73.0,328.0,170.0,133.0,119.0,268.0,230.0,428.0,469.0,373.0,113.0,271.0,351.0,270.0,345.0,214.0,271.0,157.0,289.0,424.0,113.0,157.0,1280.0
G_11,190.0,246.0,230.0,227.0,387.0,289.0,183.0,187.0,365.0,408.0,19.0,0.0,288.0,172.0,213.0,155.0,78.0,100.0,426.0,70.0,324.0,171.0,133.0,123.0,266.0,230.0,426.0,468.0,372.0,121.0,266.0,353.0,272.0,348.0,212.0,270.0,158.0,288.0,425.0,111.0,148.0,1280.0
G_12,116.0,59.0,72.0,70.0,120.0,19.0,147.0,117.0,93.0,128.0,290.0,288.0,0.0,140.0,96.0,160.0,354.0,373.0,150.0,235.0,54.0,133.0,174.0,195.0,35.0,77.0,153.0,193.0,103.0,199.0,39.0,80.0,40.0,73.0,99.0,38.0,159.0,19.0,152.0,189.0,154.0,1560.0
G_13,31.0,95.0,77.0,80.0,233.0,140.0,18.0,43.0,214.0,259.0,172.0,172.0,140.0,0.0,59.0,40.0,230.0,248.0,276.0,112.0,175.0,19.0,65.0,86.0,116.0,82.0,276.0,318.0,218.0,81.0,118.0,202.0,118.0,194.0,60.0,112.0,46.0,138.0,272.0,76.0,45.0,1440.0
G_14,38.0,58.0,30.0,39.0,193.0,94.0,60.0,41.0,174.0,214.0,214.0,213.0,96.0,59.0,0.0,80.0,277.0,292.0,232.0,154.0,130.0,57.0,98.0,119.0,71.0,39.0,236.0,273.0,179.0,122.0,79.0,154.0,77.0,154.0,18.0,75.0,81.0,97.0,231.0,113.0,82.0,1480.0
G_15,58.0,119.0,98.0,99.0,253.0,161.0,48.0,56.0,239.0,279.0,156.0,155.0,160.0,40.0,80.0,0.0,214.0,236.0,296.0,97.0,195.0,43.0,45.0,68.0,135.0,107.0,297.0,337.0,238.0,68.0,138.0,225.0,144.0,213.0,80.0,139.0,23.0,158.0,294.0,65.0,23.0,1420.0
G_16,247.0,312.0,296.0,294.0,450.0,352.0,232.0,250.0,432.0,472.0,78.0,78.0,354.0,230.0,277.0,214.0,0.0,35.0,493.0,132.0,388.0,234.0,198.0,179.0,330.0,299.0,491.0,528.0,440.0,171.0,331.0,415.0,335.0,408.0,270.0,333.0,214.0,352.0,492.0,174.0,220.0,1220.0
G_17,264.0,328.0,309.0,311.0,467.0,366.0,245.0,271.0,448.0,492.0,93.0,100.0,373.0,248.0,292.0,236.0,35.0,0.0,508.0,156.0,407.0,249.0,215.0,193.0,346.0,313.0,507.0,543.0,453.0,187.0,350.0,432.0,349.0,426.0,286.0,348.0,234.0,370.0,507.0,189.0,238.0,1200.0
G_18,248.0,191.0,211.0,206.0,53.0,151.0,281.0,249.0,73.0,35.0,430.0,426.0,150.0,276.0,232.0,296.0,493.0,508.0,0.0,370.0,111.0,272.0,308.0,328.0,169.0,209.0,14.0,54.0,77.0,335.0,171.0,99.0,173.0,94.0,233.0,172.0,298.0,155.0,16.0,329.0,290.0,1700.0
G_19,130.0,189.0,171.0,173.0,325.0,229.0,122.0,131.0,310.0,352.0,73.0,70.0,235.0,112.0,154.0,97.0,132.0,156.0,370.0,0.0,265.0,111.0,75.0,63.0,209.0,173.0,369.0,409.0,314.0,62.0,209.0,295.0,213.0,287.0,153.0,211.0,103.0,230.0,366.0,55.0,97.0,1340.0
G_20,148.0,89.0,110.0,109.0,70.0,55.0,179.0,147.0,53.0,91.0,328.0,324.0,54.0,175.0,130.0,195.0,388.0,407.0,111.0,265.0,0.0,168.0,209.0,232.0,69.0,116.0,112.0,151.0,58.0,234.0,72.0,42.0,75.0,30.0,129.0,74.0,196.0,49.0,112.0,224.0,188.0,1600.0
G_21,35.0,91.0,73.0,74.0,230.0,131.0,25.0,38.0,212.0,253.0,170.0,171.0,133.0,19.0,57.0,43.0,234.0,249.0,272.0,111.0,168.0,0.0,58.0,80.0,111.0,78.0,271.0,310.0,217.0,79.0,111.0,194.0,113.0,188.0,55.0,112.0,42.0,130.0,271.0,71.0,41.0,1440.0
G_22,80.0,134.0,117.0,112.0,265.0,167.0,66.0,76.0,247.0,291.0,133.0,133.0,174.0,65.0,98.0,45.0,198.0,215.0,308.0,75.0,209.0,58.0,0.0,38.0,152.0,116.0,308.0,349.0,254.0,46.0,155.0,233.0,151.0,234.0,99.0,158.0,46.0,168.0,307.0,39.0,37.0,1400.0
G_23,101.0,159.0,135.0,136.0,290.0,186.0,79.0,105.0,270.0,308.0,119.0,123.0,195.0,86.0,119.0,68.0,179.0,193.0,328.0,63.0,232.0,80.0,38.0,0.0,176.0,133.0,326.0,368.0,275.0,24.0,181.0,256.0,173.0,250.0,121.0,172.0,72.0,195.0,327.0,23.0,67.0,1380.0
G_24,88.0,32.0,50.0,50.0,129.0,35.0,118.0,86.0,109.0,150.0,268.0,266.0,35.0,116.0,71.0,135.0,330.0,346.0,169.0,209.0,69.0,111.0,152.0,176.0,0.0,59.0,171.0,207.0,117.0,178.0,13.0,98.0,19.0,91.0,69.0,18.0,139.0,33.0,170.0,169.0,132.0,1540.0
G_25,62.0,40.0,17.0,20.0,172.0,71.0,81.0,67.0,149.0,192.0,230.0,230.0,77.0,82.0,39.0,107.0,299.0,313.0,209.0,173.0,116.0,78.0,116.0,133.0,59.0,0.0,209.0,252.0,154.0,141.0,62.0,136.0,53.0,140.0,45.0,58.0,109.0,79.0,204.0,134.0,104.0,1500.0
G_26,250.0,190.0,213.0,208.0,54.0,146.0,279.0,252.0,74.0,35.0,428.0,426.0,153.0,276.0,236.0,297.0,491.0,507.0,14.0,369.0,112.0,271.0,308.0,326.0,171.0,209.0,0.0,54.0,75.0,332.0,172.0,96.0,170.0,95.0,233.0,175.0,299.0,153.0,8.0,330.0,291.0,1700.0
G_27,288.0,233.0,251.0,249.0,92.0,186.0,318.0,288.0,113.0,77.0,469.0,468.0,193.0,318.0,273.0,337.0,528.0,543.0,54.0,409.0,151.0,310.0,349.0,368.0,207.0,252.0,54.0,0.0,118.0,371.0,214.0,132.0,213.0,133.0,266.0,217.0,335.0,193.0,55.0,365.0,331.0,1740.0
G_28,197.0,137.0,158.0,153.0,37.0,99.0,223.0,197.0,20.0,63.0,373.0,372.0,103.0,218.0,179.0,238.0,440.0,453.0,77.0,314.0,58.0,217.0,254.0,275.0,117.0,154.0,75.0,118.0,0.0,280.0,121.0,42.0,112.0,42.0,178.0,124.0,243.0,97.0,73.0,274.0,235.0,1640.0
G_29,96.0,157.0,141.0,139.0,293.0,195.0,78.0,105.0,274.0,318.0,113.0,121.0,199.0,81.0,122.0,68.0,171.0,187.0,335.0,62.0,234.0,79.0,46.0,24.0,178.0,141.0,332.0,371.0,280.0,0.0,182.0,262.0,177.0,250.0,117.0,176.0,60.0,199.0,334.0,19.0,68.0,1380.0
G_30,91.0,30.0,59.0,54.0,131.0,40.0,124.0,91.0,115.0,150.0,271.0,266.0,39.0,118.0,79.0,138.0,331.0,350.0,171.0,209.0,72.0,111.0,155.0,181.0,13.0,62.0,172.0,214.0,121.0,182.0,0.0,103.0,23.0,94.0,76.0,22.0,142.0,32.0,173.0,173.0,136.0,1540.0
G_31,179.0,120.0,135.0,137.0,61.0,73.0,203.0,179.0,42.0,83.0,351.0,353.0,80.0,202.0,154.0,225.0,415.0,432.0,99.0,295.0,42.0,194.0,233.0,256.0,98.0,136.0,96.0,132.0,42.0,262.0,103.0,0.0,96.0,27.0,158.0,104.0,220.0,81.0,93.0,251.0,220.0,1620.0
G_32,95.0,37.0,58.0,56.0,130.0,34.0,119.0,99.0,111.0,155.0,270.0,272.0,40.0,118.0,77.0,144.0,335.0,349.0,173.0,213.0,75.0,113.0,151.0,173.0,19.0,53.0,170.0,213.0,112.0,177.0,23.0,96.0,0.0,99.0,78.0,21.0,146.0,36.0,170.0,173.0,136.0,1540.0
G_33,169.0,114.0,132.0,129.0,56.0,76.0,200.0,171.0,39.0,76.0,345.0,348.0,73.0,194.0,154.0,213.0,408.0,426.0,94.0,287.0,30.0,188.0,234.0,250.0,91.0,140.0,95.0,133.0,42.0,250.0,94.0,27.0,99.0,0.0,149.0,93.0,213.0,75.0,96.0,245.0,213.0,1620.0
G_34,32.0,53.0,35.0,38.0,189.0,94.0,62.0,35.0,174.0,215.0,214.0,212.0,99.0,60.0,18.0,80.0,270.0,286.0,233.0,153.0,129.0,55.0,99.0,121.0,69.0,45.0,233.0,266.0,178.0,117.0,76.0,158.0,78.0,149.0,0.0,79.0,78.0,90.0,232.0,104.0,78.0,1480.0
G_35,92.0,41.0,55.0,57.0,135.0,39.0,118.0,101.0,113.0,156.0,271.0,270.0,38.0,112.0,75.0,139.0,333.0,348.0,172.0,211.0,74.0,112.0,158.0,172.0,18.0,58.0,175.0,217.0,124.0,176.0,22.0,104.0,21.0,93.0,79.0,0.0,140.0,42.0,175.0,171.0,140.0,1540.0
G_36,64.0,122.0,100.0,101.0,258.0,163.0,47.0,62.0,238.0,280.0,157.0,158.0,159.0,46.0,81.0,23.0,214.0,234.0,298.0,103.0,196.0,42.0,46.0,72.0,139.0,109.0,299.0,335.0,243.0,60.0,142.0,220.0,146.0,213.0,78.0,140.0,0.0,159.0,297.0,57.0,27.0,1420.0
G_37,113.0,50.0,76.0,71.0,110.0,18.0,141.0,113.0,92.0,133.0,289.0,288.0,19.0,138.0,97.0,158.0,352.0,370.0,155.0,230.0,49.0,130.0,168.0,195.0,33.0,79.0,153.0,193.0,97.0,199.0,32.0,81.0,36.0,75.0,90.0,42.0,159.0,0.0,151.0,186.0,153.0,1560.0
G_38,250.0,189.0,208.0,206.0,54.0,147.0,277.0,253.0,73.0,36.0,424.0,425.0,152.0,272.0,231.0,294.0,492.0,507.0,16.0,366.0,112.0,271.0,307.0,327.0,170.0,204.0,8.0,55.0,73.0,334.0,173.0,93.0,170.0,96.0,232.0,175.0,297.0,151.0,0.0,327.0,292.0,1700.0
G_39,94.0,149.0,129.0,131.0,288.0,189.0,81.0,96.0,269.0,311.0,113.0,111.0,189.0,76.0,113.0,65.0,174.0,189.0,329.0,55.0,224.0,71.0,39.0,23.0,169.0,134.0,330.0,365.0,274.0,19.0,173.0,251.0,173.0,245.0,104.0,171.0,57.0,186.0,327.0,0.0,59.0,1380.0
G_40,57.0,113.0,98.0,93.0,250.0,158.0,54.0,52.0,231.0,273.0,157.0,148.0,154.0,45.0,82.0,23.0,220.0,238.0,290.0,97.0,188.0,41.0,37.0,67.0,132.0,104.0,291.0,331.0,235.0,68.0,136.0,220.0,136.0,213.0,78.0,140.0,27.0,153.0,292.0,59.0,0.0,1420.0
G_41,1460.0,1520.0,1500.0,1500.0,1660.0,1560.0,1440.0,1460.0,1640.0,1680.0,1280.0,1280.0,1560.0,1440.0,1480.0,1420.0,1220.0,1200.0,1700.0,1340.0,1600.0,1440.0,1400.0,1380.0,1540.0,1500.0,1700.0,1740.0,1640.0,1380.0,1540.0,1620.0,1540.0,1620.0,1480.0,1540.0,1420.0,1560.0,1700.0,1380.0,1420.0,0.0
